"neo","pha","diameter","e","a","w","per_y"
Y,Y,1.0,0.8270,1.078,31.44,1.12
Y,Y,2.56,0.3355,1.246,277.02,1.39
Y,Y,1.5,0.5599,1.471,286.05,1.78
Y,Y,3.4,0.6505,1.776,267.84,2.37
Y,Y,0.6,0.7641,1.874,43.71,2.57
Y,Y,1.649,0.2994,1.29,61.50,1.47
Y,Y,,0.5031,1.6,290.98,2.02
Y,Y,1.80,0.7107,2.179,98.37,3.22
Y,Y,0.3,0.4499,0.8439,40.12,0.775
Y,Y,4.9,0.4232,1.769,27.88,2.35
Y,Y,6.25,0.8897,1.271,322.31,1.43
Y,Y,0.3,0.3232,1.21,302.65,1.33
Y,Y,0.7,0.4685,0.9895,55.09,0.984
Y,Y,1.5,0.5438,2.197,204.43,3.26
Y,Y,0.5,0.4459,1.835,17.24,2.48
Y,Y,4,0.6309,2.626,95.52,4.26
Y,Y,0.42,0.4440,1.059,296.70,1.09
Y,Y,5.4,0.6247,2.543,277.86,4.06
Y,Y,3.651,0.6362,1.981,237.02,2.79
Y,Y,,0.5866,1.442,292.00,1.73
Y,Y,1.849,0.6600,2.206,169.26,3.28
Y,Y,,0.3569,1.023,255.39,1.03
Y,Y,0.33,0.3588,1.485,159.54,1.81
Y,Y,1.4,0.4832,1.063,121.45,1.1
Y,Y,,0.6575,1.621,77.93,2.06
Y,Y,,0.5002,1.636,105.96,2.09
Y,Y,,0.4782,1.552,159.96,1.93
Y,Y,0.55,0.4065,0.93,82.77,0.897
Y,Y,,0.5851,1.271,258.98,1.43
Y,Y,,0.4996,1.272,242.36,1.43
Y,Y,,0.4125,1.151,239.78,1.23
Y,Y,0.53,0.6188,2.477,69.53,3.9
Y,Y,,0.5921,2.504,326.21,3.96
Y,Y,1.8,0.4845,1.773,232.34,2.36
Y,Y,0.982,0.5061,1.842,173.51,2.5
Y,Y,1.052,0.3294,1.349,47.49,1.57
Y,Y,,0.4816,1.467,280.06,1.78
Y,Y,1.602,0.1646,1.123,249.46,1.19
Y,Y,0.7,0.4560,1.748,114.77,2.31
Y,Y,1.568,0.4304,1.506,125.16,1.85
Y,Y,1.0,0.6258,2.243,116.20,3.36
Y,Y,0.938,0.3249,1.249,233.74,1.4
Y,Y,0.738,0.3558,1.08,289.52,1.12
Y,Y,1.663,0.4059,1.542,321.79,1.91
Y,Y,2.060,0.4927,1.962,147.21,2.75
Y,Y,0.562,0.3057,1.336,133.85,1.54
Y,Y,0.9,0.6643,2.851,238.64,4.81
Y,Y,,0.8591,2.2,243.25,3.26
Y,Y,,0.5610,2.033,104.56,2.9
Y,Y,,0.4766,1.565,296.32,1.96
Y,Y,,0.5700,1.219,324.82,1.35
Y,Y,,0.5894,1.847,293.54,2.51
Y,Y,0.33,0.2802,1.324,162.85,1.52
Y,Y,,0.4718,1.546,231.21,1.92
Y,Y,,0.4335,1.744,0.82,2.3
Y,Y,1.3,0.5075,1.699,224.83,2.21
Y,Y,,0.5778,2.137,39.11,3.12
Y,Y,0.432,0.4177,0.7187,167.52,0.609
Y,Y,0.929,0.1437,1.137,207.03,1.21
Y,Y,0.704,0.4838,1.442,103.07,1.73
Y,Y,,0.5200,1.913,323.22,2.65
Y,Y,,0.7524,1.478,303.92,1.8
Y,Y,,0.5070,2.09,8.79,3.02
Y,Y,1.554,0.4928,2.036,344.84,2.91
Y,Y,0.204,0.5556,1.593,297.37,2.01
Y,Y,1.0,0.6236,2.409,20.36,3.74
Y,Y,1.75,0.5757,2.379,174.57,3.67
Y,Y,7.,0.6415,2.724,166.79,4.5
Y,Y,,0.5397,1.922,43.42,2.67
Y,Y,,0.4197,1.495,325.05,1.83
Y,Y,0.843,0.2692,1.371,218.36,1.6
Y,Y,0.918,0.2645,0.9148,15.00,0.875
Y,Y,,0.3633,1.428,63.41,1.71
Y,Y,,0.2810,1.395,290.98,1.65
Y,Y,0.78,0.3832,1.643,319.59,2.11
Y,Y,,0.5397,1.091,284.51,1.14
Y,Y,1.317,0.6884,0.6424,192.65,0.515
Y,Y,,0.2126,1.309,184.84,1.5
Y,Y,,0.5429,1.321,266.94,1.52
Y,Y,0.994,0.3267,1.32,48.76,1.52
Y,Y,0.736,0.4165,1.507,140.28,1.85
Y,Y,,0.3799,0.9617,243.82,0.943
Y,Y,,0.4156,1.618,322.34,2.06
Y,Y,1.182,0.4367,1.707,24.70,2.23
Y,Y,1.650,0.3443,1.057,255.57,1.09
Y,Y,,0.6239,1.655,92.91,2.13
Y,Y,1.1,0.7776,2.22,243.25,3.31
Y,Y,,0.3111,1.234,293.83,1.37
Y,Y,,0.3563,1.298,95.45,1.48
Y,Y,,0.4857,1.58,117.32,1.99
Y,Y,3.484,0.6388,1.923,103.13,2.67
Y,Y,0.939,0.3289,1.403,50.16,1.66
Y,Y,,0.4845,1.852,197.78,2.52
Y,Y,1.462,0.6329,0.8831,309.26,0.83
Y,Y,0.451,0.3115,1.009,235.71,1.01
Y,Y,2.22,0.5789,1.76,120.82,2.33
Y,Y,0.802,0.5059,1.996,150.28,2.82
Y,Y,,0.6427,0.8587,47.82,0.796
Y,Y,0.800,0.6295,1.182,140.24,1.29
Y,Y,,0.2528,1.356,67.20,1.58
Y,Y,5.067,0.5070,2.078,5.85,2.99
